ages,price,reviews,pieces,description,id,difficulty,theme,Licensed
14-Aug,59.99,1,598,Run rings around the Krakenbeast with Aaron’s 3-in-1 Rock Climber!,70355,Average,NEXO KNIGHTS™,Non-Licensed
14-Aug,39.99,1,393,Keep trouble at bay with Axl’s 3-in-1 Rumble Maker!,70354,NA,NEXO KNIGHTS™,Non-Licensed
14-Aug,49.99,2,516,Tower over the enemy with the monstrous Siege Machine of Doom!,70321,Challenging,NEXO KNIGHTS™,Non-Licensed
14-Aug,24.99,2,257,Charge Lance into battle against the gargoyles!,70359,Easy,NEXO KNIGHTS™,Non-Licensed
14-Aug,29.99,1,266,Charge Axl into battle against the three fearsome brothers!,70350,Average,NEXO KNIGHTS™,Non-Licensed
14-Aug,19.99,2,208,Rescue the queen from Ruina’s Lock & Roller!,70349,Average,NEXO KNIGHTS™,Non-Licensed
14-Aug,19.99,1,216,Hunt the Rogul with Lance’s four-in-one Twin Jouster!,70348,Very Easy,NEXO KNIGHTS™,Non-Licensed
14-Aug,19.99,3,187,Smash Aaron Fox out of the way and capture the Book of Chaos!,70313,Average,NEXO KNIGHTS™,Non-Licensed
14-Jul,14.99,NA,153,Engage the Stone stomper with Macy’s Bot Drop Dragon!,70361,NA,NEXO KNIGHTS™,Non-Licensed
14-Jul,9.99,NA,79,Suit up with Clay and turn the Stone monsters to dust!,70362,NA,NEXO KNIGHTS™,Non-Licensed
14-Jul,9.99,NA,83,Send Lance speeding after the Stone monsters!,70366,NA,NEXO KNIGHTS™,Non-Licensed
14-Jul,9.99,1,80,Grab a battle suit and help Aaron defend Knighton!,70364,Very Easy,NEXO KNIGHTS™,Non-Licensed
14-Jul,9.99,2,67,Hammer the enemy into defeat with Ultimate Flama!,70339,Very Easy,NEXO KNIGHTS™,Non-Licensed
14-Jul,9.99,2,75,Soar into battle with Ultimate Lance and his jet wings!,70337,Easy,NEXO KNIGHTS™,Non-Licensed
14-Jul,9.99,NA,66,Unleash mighty Macy and send the Stone monsters running!,70363,NA,NEXO KNIGHTS™,Non-Licensed
14-Aug,9.99,NA,69,Knock out enemies with Ultimate Axl's gigantic fists!,70336,NA,NEXO KNIGHTS™,Non-Licensed
14-Jul,9.99,1,64,Fire up Ultimate General Magmar to defeat the opponents!,70338,Very Easy,NEXO KNIGHTS™,Non-Licensed
6+,14.99,NA,30,Grow Jestro's army with these hot-headed Lava monsters!,853516,NA,NEXO KNIGHTS™,Non-Licensed
14-Jul,3.99,8,10,Collect and combine the NEXO Powers to defeat Monstrox!,70372,Very Easy,NEXO KNIGHTS™,Non-Licensed
14-Sep,159.99,52,2295,Join the ninja aboard Wu’s flying ship!,70618,Challenging,THE LEGO® NINJAGO® MOVIE™,Non-Licensed
14-Sep,99.99,15,1403,Evade the traps inside the Temple!,70617,Average,THE LEGO® NINJAGO® MOVIE™,Non-Licensed
14-Sep,89.99,11,1202,Turn sound into a weapon with Cole’s Quake Mech!,70632,Average,THE LEGO® NINJAGO® MOVIE™,Non-Licensed
14-Sep,79.99,9,830,Defend NINJAGO® City from Garmadon Shark Mech attack!,70656,Average,THE LEGO® NINJAGO® MOVIE™,Non-Licensed
14-Sep,79.99,6,914,Take on the shark army with Zane’s Ice Tank!,70616,Average,THE LEGO® NINJAGO® MOVIE™,Non-Licensed
14-Aug,69.99,6,765,Explore the mysterious Temple of Resurrection!,70643,Average,NINJAGO®,Non-Licensed
14-Sep,69.99,19,944,Put the heat on the shark army with Kai’s Fire Mech!,70615,Average,THE LEGO® NINJAGO® MOVIE™,Non-Licensed
14-Aug,59.99,8,747,Defend NINJAGO® City against Garma Mecha Man!,70613,Average,THE LEGO® NINJAGO® MOVIE™,Non-Licensed
14-Sep,59.99,8,876,Speed to the rescue with Jay’s Lightning Jet!,70614,Average,THE LEGO® NINJAGO® MOVIE™,Non-Licensed
14-Aug,49.99,2,556,Get weaponized for a dynamic Killow vs. Samurai X duel!,70642,Average,NINJAGO®,Non-Licensed
